CODE,ADF,Pvalue,PnL,trade times
390,0.562456507,0.986652746,1231.67,70
1211,0.197408009,0.972115842,596.65,19
2333,0.017615762,0.959964877,368.23,68
2319,-0.026450337,0.956289229,4315.83,219
1800,-0.385856442,0.912433597,485.79,41
1099,-0.524671427,0.887111453,504.2,28
322,-0.613791983,0.867835051,1361.92,42
4,-0.626377624,0.864909685,112.25,17
1299,-0.833340833,0.809131774,1277.35,91
1928,-1.116473527,0.708457944,,
914,-1.154858106,0.692707158,,
388,-1.165996697,0.688049439,,
66,-1.195742797,0.675424367,,
1044,-1.242781072,0.654927107,,
291,-1.26321342,0.645829762,,
1066,-1.291629452,0.632993096,,
902,-1.296559435,0.630744903,,
2318,-1.297742796,0.630204353,,
358,-1.308575064,0.625240137,,
5,-1.362999832,0.599880384,-191.2,18
151,-1.364119235,0.599351874,246.86,7
27,-1.378995861,0.592303322,-545.05,14
728,-1.404486445,0.58012338,,
11,-1.430502505,0.56756866,281.99,126
135,-1.433940696,0.565900754,43.57,19
16,-1.473450229,0.546601876,1382.37,105
168,-1.505064361,0.531004601,204.4,20
6,-1.569418625,0.49893485,311.36,58
17,-1.575654789,0.495810303,1489.93,118
2,-1.581935831,0.49266107,712.15,146
1880,-1.634902157,0.464925786,,
836,-1.647698409,0.458241048,,
12,-1.670701648,0.446267552,2794.72,164
489,-1.719083961,0.421307637,,
144,-1.731230945,0.415097415,,
1,-1.733615181,0.413881411,835.3,63
19,-1.741944296,0.409641287,1683.6,121
1088,-1.754769216,0.403137271,,
688,-1.766943292,0.39699248,,
2883,-1.798112131,0.38139937,,
101,-1.829201036,0.366063561,1256.89,77
823,-1.836385193,0.362552861,,
2628,-1.851663561,0.355130265,,
2388,-1.87462522,0.344090727,,
1109,-1.901464992,0.331372246,,
293,-2.02166476,0.277155382,,
883,-2.021864846,0.277069171,,
2338,-2.0385626,0.26992478,,
762,-2.05406417,0.263382006,,
1988,-2.074661652,0.254824562,,
267,-2.078686837,0.253170633,353.05,35
494,-2.093631825,0.247082975,,
6030,-2.104036023,0.242894797,,
1288,-2.117694361,0.23745939,,
992,-2.1573461,0.222088783,,
3,-2.166228877,0.218729875,1001.9,93
753,-2.172304219,0.216450517,,
83,-2.200089979,0.206212801,3016.65,175
700,-2.261996539,0.184517837,,
1898,-2.350507742,0.156194981,,
916,-2.45436767,0.126975484,,
2328,-2.477555662,0.121031212,,
857,-2.522058733,0.110199028,,
1336,-2.648935202,0.083299126,,
386,-2.68548503,0.076583848,,
1339,-2.688813883,0.075994039,,
2238,-2.700690318,0.07391889,,
941,-2.793759999,0.059170651,,
3323,-2.794389562,0.059079659,,
1398,-2.840964982,0.052656267,,
2601,-3.115827983,0.025403806,,
939,-3.120808334,0.025051114,,
23,-3.129819376,0.02442369,2162.77,153
6837,-3.138774316,0.02381364,428,36
3968,-3.257197282,0.016903587,,
3988,-3.57225995,0.006314048,,
3328,-3.62753876,0.005255853,,
998,-3.932985397,0.001805067,-541.51,48
2202,-4.300798234,0.000442801,3117.49,73
1359,-4.44626917,0.000245599,,